rfid	mass
0007D2BACD	0.456686995
0007D2BB63	-2.960514858
0007D2BBC6	0.308049648
0007D2BBEB	-1.603962319
0007D2BC03	0.641668516
0007D2BC6F	-0.308934954
0007D2BC8C	1.47865452
0007D2BC46	0.458409294
0007D2BCD5	-0.57430963
0007D2BD06	-0.642928847
0007D2BD6C	1.638337297
0007D2BD58	0.097419367
0007D2BDA9	-0.551994121
0007D2BDB9	0.727037522
0007D2BDC2	-0.057202501
0007D2BDC8	0.624997363
0007D2BF83	-0.328373876
0007D2C056	-1.534120544
0007D2C083	0.590779303
0007D2C0E0	-0.213315248
0007D2C1D7	-0.3227218
0007D2C1FF	-0.683213815
0007D2C2EF	-0.147175881
0007D2C2FC	-1.162368051
0007D2C3A3	-0.410236248
0007D2C5C0	1.644258343
0007D2C6A5	-1.429194274
0007D2C6E2	-0.237530967
0007D2C6FE	-0.245228357
0007D2C7A2	1.093238495
0007D2C7AC	1.485486617
0007D2C7DB	-0.710246935
0007D2C8B4	-0.641036804
0007D2C11D	-2.786275502
0007D2C15D	0.020048429
0007D2C17C	-1.832055663
0007D2C32D	0.629148714
0007D2C43E	2.505006972
0007D2C60A	-1.389680725
0007D2C61F	1.744543538
0007D2C98E	-0.224457941
0007D2C191	0.191313355
0007D2C235	-1.592914553
0007D2C350	-0.940124963
0007D2C410	-0.057770792
0007D2C474	-1.417069581
0007D2C513	-1.733967595
0007D2C682	0.866230745
0007D2C691	-0.489650566
0007D2C938	0.111134235
0007D2CA2F	-0.420820531
0007D2CA29	-1.207574729
0007D2CA38	0.967011903
0007D2CA62	-1.076658961
0007D2CAE4	0.724639502
0007D2CAF6	-0.025989889
0007D2CBB5	1.765075841
0007D2CD05	0.590142994
0007D2D8D4	1.306999529
0007D2D20F	0.969472324
0007D2D87E	-0.60612571
0007D2D146	-1.461211726
0007D2D459	-2.466985371
0007D2D539	1.22515727
0007D2D919	-1.259254592
0007D2DB0E	-0.18594467
0007D2DBD9	0.981971556
0007D2DDBD	1.455898096
0007D2DE23	-0.437777047
0007D2DFC2	-1.368330874
0007D2DFF4	-2.358177105
0007D2E4D5	-0.726688073
0007D2E6A8	-0.283675897
0007D2E8E4	-0.603661379
0007D2E8EA	-1.764744981
0007D2E98B	-2.04477772
0007D2E378	-0.470450523
0007D2E754	-1.496509691
0007D2E991	-1.543826657
0007D3A6B9	0.413142286
0007D3A9DB	-0.4979059
0007D3A21F	-2.069415545
0007D3A29D	-0.1452941
0007D3A45F	0.251354187
0007D3A336	2.466985371
0007D3A942	-0.275190958
0007D3AC6B	-0.574359112
0007D3AC58	-0.271994126
0007D3ACCC	-0.627855995
0007D3AE78	-0.907295385
0007D3B1A1	0.288006813
0007D3B1F2	-0.793306948
0007D3B3EA	-1.713561243
0007D3B282	0.20859222
0007D3B338	1.420695142
0007D3B488	0.888727292
0007D3BA18	-0.170965855
0007D3BD33	2.119910361
0007D3C025	1.689328667
0007D3C3AF	-1.706915078
0007D3C3C5	-0.780622163
0007D3C3D7	-0.633491429
0007D3C4AE	1.446509326
0007D3C4B4	-0.631296715
0007D3C4C9	1.804433558
0007D3C4D0	-1.022570303
0007D3C4DA	0.078412413
0007D3C4FF	0.417433459
0007D3C5D5	-0.211740382
0007D3C5EB	-0.902657655
0007D3C7D4	1.848733427
0007D3C8DD	0.370932295
0007D3C9B9	1.299745767
0007D3C9CA	0.93530971
0007D3C38E	0.400568795
0007D3C42C	-0.837459821
0007D3C53D	-1.836979842
0007D3C78B	-0.348980485
0007D3C94B	2.202340327
0007D3C214	0.365085756
0007D3C326	0.424212437
0007D3C366	2.088700477
0007D3C386	0.413948854
0007D3C437	1.064560572
0007D3C488	1.191921367
0007D3C563	-0.499649542
0007D3C662	0.461857981
0007D3C800	1.16704284
0007D3CA06	0.030028622
0007D3CA09	-1.019976602
0007D3CAA3	0.46531217
0007D3CAEF	-0.520825767
0007D3CB1F	0.815185762
0007D3CB59	1.231705892
0007D3CBBB	-1.093592675
0007D3CBE0	-0.286402285
0007D3CBE2	0.097927111
0007D3CBFD	-0.325125626
0007D3CCC7	-0.114960213
0007D3CD3C	-0.23700416
0007D3CD59	-0.994610492
0007D3CD64	0.582804742
0007D3CE23	-1.84029584
0007D3CE70	-0.62973225
0007D3CF13	1.683889788
0007D3CF30	0.550910059
0007D3CFAF	0.140284293
0007D3CFEC	2.277988333
0007D3D000	-1.823803278
0007D3D05A	-1.35982238
0007D3D07A	-1.716804757
0007D3D014	1.980489831
0007D3D021	-1.120302132
0007D3D0C2	-0.877488928
0007D3D2E8	-1.545456545
0007D3D3AC	-1.991637087
0007D3D3BB	-1.214311717
0007D3D4B4	1.506367772
0007D3D4EB	-2.185260131
0007D3D5A8	0.607911088
0007D3D5B8	2.772116682
0007D3D5D0	-1.473325119
0007D3D7F0	-0.675456547
0007D3D9B1	-0.091740553
0007D3D18C	-0.424212437
0007D3D19B	-1.740932953
0007D3D35C	1.112389968
0007D3D38C	-0.362698036
0007D3D43E	-1.10761711
0007D3D49E	0.514035046
0007D3D58B	-0.926044982
0007D3D59E	0.403932473
0007D3D129	-1.723615781
0007D3D157	1.321717088
0007D3D421	-3.423232219
0007D3D424	-0.625981949
0007D3D476	-0.268800072
0007D3D502	-0.070594637
0007D3D538	-0.025596462
0007D3D559	-2.299108631
0007D3D565	0.42591022
0007D3D567	0.675560499
0007D3D569	0.899863175
0007D3D629	-0.080922375
0007D3D758	0.291218099
0007D3D879	-0.563948597
0007D3D938	-0.882753132
0007D3DA2A	1.567681653
0007D3DA57	0.733112037
0007D3DAA3	-1.464269259
0007D3DEC0	0.659955825
0007D3DF8B	-1.777093694
0007D3DF97	-0.207018916
0007D3E1D6	-3.114470818
0007D3E10A	0.504889622
0007D3E152	0.683213815
0007D5B804	-0.20859222
0007D5FD7B	0.735142891
0007D5FD63	0.184434017
0007D5FE55	0.37462633
0007D5FE86	0.801834818
0007D5FE90	-0.009652451
0007D5FE99	0.412361801
0007D5FEB5	0.153385778
0007D5FEE4	0.192751657
0007D5FF8A	1.324230392
0007D5FF9F	0.422865542
0007D5FF87	1.337828402
0007D5FFFF	0.644605039
0007D30A6A	-0.779808359
0007D30AD1	-1.193174644
0007D30AEB	0.820094632
0007D30C4E	0.164719689
0007D30C93	-0.603147017
0007D30CDE	0.141351664
0007D30CE8	1.010608614
0007D30D95	0.645867871
0007D30DA3	0.136143397
0007D30DD8	-0.841840659
0007D30E09	1.507014538
0007D30E16	2.041967138
0007D30E23	0.057202501
0007D30E54	-0.286972126
0007D30E66	0.172247986
0007D30F3C	0.734444744
0007D30F8C	1.899113877
0007D30F77	-1.801129542
0007D30FF2	0.86847357
0007D31A00	0.407472574
0007D31A45	-1.337057308
0007D31BB2	-0.555446771
0007D31C30	-0.929980941
0007D31E12	-0.913876029
0007D34A25	0.379191781
0007D34B19	0.974410859
0007D34C03	1.2350001
0007D34C0A	1.03087592
0007D34C72	1.009669703
0007D34D48	-1.157897322
0007D34DA7	0.002309549
0007D34DD9	-0.14601869
0007D34F02	1.119340159
0007D34FAA	1.671220068
0007D34FEC	-1.615209397
0007D34FED	0.663896187
0007D35A1E	0.952370547
0007D35B80	1.747983813
0007D35C66	-1.491808383
0007D35EF5	0.870720772
0007D35F7E	0.765282749
0007D36DE0	-1.13184068
0007D39A35	1.36779606
0007D39E9F	0.125192333
0007D47C55	1.027778453
0007D47CBA	-1.238307765
0007D47DF9	-1.257591293
0007D47E5B	0.194450571
0007D47E21	-1.092598721
0007D48AF7	-0.454786422
0007D48BCB	-0.267204074
0007D48BED	0.047327168
0007D48D0A	0.477446015
0007D48D74	-1.333302869
0007D48E0D	0.10957363
0007D48F8B	-1.258444745
0007D60A0F	-0.229232622
0007D60A6C	-1.36779606
0007D60AC2	1.07682287
0007D60AD2	0.470450523
0007D60ADB	0.131800387
0007D60AF0	-0.257994838
0007D60AFE	1.538978587
0007D60B8F	0.897540274
0007D60B14	-1.198257384
0007D60B49	0.373033888
0007D60BC2	0.553419333
0007D60C2E	1.383667152
0007D60C7A	0.101896457
0007D60C74	0.604342262
0007D60CE7	-0.967008861
0007D60CEB	1.220814142
0007D60CF7	2.199482926
0007D60D1E	-0.403932473
0007D60D38	-0.525934598
0007D60D51	1.61728474
0007D60DA1	1.460389094
0007D60E22	-1.507014538
0007D60E32	1.145851902
0007D60E37	1.157574024
0007D60E47	0.507213604
0007D60E98	-0.211750125
0007D60EA0	-0.176972866
0007D60EB1	0.169100207
0007D60F21	-1.208394031
0007D60F60	0.31473603
0007D63DA9	-0.598128343
0007D305AC	1.506012822
0007D309FD	-1.244025715
0007D310B3	-0.32724391
0007D311B6	-0.639147053
0007D312B8	-1.138494618
0007D312BC	-1.123427622
0007D313EF	-0.665752506
0007D313FC	-1.26101906
0007D317B7	-0.137709138
0007D318A0	-0.447627894
0007D319DD	-1.151789502
0007D328F6	0.375884913
0007D349B2	0.646719859
0007D350A8	2.235702165
0007D352CC	1.089806192
0007D354B7	1.733967595
0007D354C1	1.656276449
0007D356EB	-0.72905937
0007D359A0	2.321307194
0007D359AC	-0.278390605
0007D361F8	0.3825028
0007D365F9	1.371730274
0007D391DE	-2.067386082
0007D392FF	-0.11961119
0007D395D6	0.367635604
0007D482CE	0.687107891
0007D482DB	-0.32762784
0007D483A3	-1.293188286
0007D487DE	-0.303173785
0007D487F8	0.517170913
0007D488AE	0.296040677
0007D601AF	0.088470953
0007D601CE	-1.646656292
0007D602DE	1.404156416
0007D604D8	0.374233022
0007D605AA	0.782727536
0007D606CE	0.120503688
0007D606F0	-1.074057236
0007D607CB	-2.312782559
0007D607D5	0.037875773
0007D607E9	-1.438221252
0007D608A0	-0.103389269
0007D608F8	0.222867523
0007D609EE	-0.638567598
0007D610A4	2.601482569
0007D610DE	-1.329184436
0007D610E0	-0.865512741
0007D610E9	-0.308500629
0007D611E3	0.656103666
0007D611E5	-0.200658839
0007D612E1	0.317858311
0007D613BF	-0.008531326
0007D614EB	1.240669887
0007D616A7	-0.07208339
0007D3039D	0.163327397
0007D3138B	1.307532452
0007D3138C	-0.435892548
0007D3154F	-1.26584461
0007D3156A	1.587462815
0007D3165A	-1.244964056
0007D3179C	-0.395416485
0007D3196E	0.175378809
0007D3265D	-0.161822673
0007D3294E	-0.879753926
0007D3358B	0.07208339
0007D3530E	-0.752959583
0007D3540E	0.789064589
0007D3555F	0.499649542
0007D3561F	0.0768566
0007D3910C	-0.790285284
0007D3968C	0.900346057
0007D3997E	-0.016287599
0007D4815A	1.144401896
0007D6003C	-0.406529288
0007D6010C	1.241629034
0007D6032C	0.890600438
0007D6035F	-0.523155082
0007D6039E	1.862731867
0007D6051C	0.778520245
0007D6058C	0.140793377
0007D6061F	0.806120682
0007D6065C	0.216251811
0007D6066D	-0.434417698
0007D6074A	-0.829201279
0007D6081A	-2.25252524
0007D6082D	0.957588814
0007D6127B	-1.431624952
0007D6148E	-2.149947018
0007D6155D	-0.344526677
0007D6159C	-0.874016984
0007D6169B	0.636747851
0007D6432C	0.904974087
0007D6441B	0.3515576
0007D30815	0.138242028
0007D30979	0.765980141
0007D31081	0.014627652
0007D31216	-0.631610724
0007D31232	-1.994762436
0007D31326	0.44286635
0007D31569	-0.886576176
0007D31734	-2.029736876
0007D31742	-0.395789339
0007D33557	0.888296674
0007D34993	0.000769849
0007D35049	0.005388969
0007D35108	-0.746840732
0007D35308	0.284798494
0007D35667	-1.185632842
0007D35716	2.185260131
0007D35739	-1.067764987
0007D35854	-0.679330071
0007D35956	-0.710695857
0007D37043	-0.875228422
0007D39249	0.237202109
0007D39650	-1.720283973
0007D39931	-0.421242245
0007D48080	-0.756007749
0007D48131	-0.981863548
0007D48378	-0.904016986
0007D48383	0.490946378
0007D48398	0.780622163
0007D48447	0.728649295
0007D49047	-1.028240666
0007D60010	-1.090776391
0007D60049	1.185632842
0007D60088	0.03341803
0007D60112	0.590173618
0007D60114	-0.825020082
0007D60153	0.524934518
0007D60173	0.971972245
0007D60175	-0.357160621
0007D60209	-1.313599424
0007D60399	1.327807508
0007D60492	0.808269175
0007D60531	0.446265595
0007D60648	0.945910352
0007D60672	-0.426115486
0007D60682	0.679157749
0007D60709	0.767918602
0007D60733	0.207140064
0007D60833	0.463584384
0007D60942	0.006682412
0007D60944	1.066633336
0007D60991	0.436122953
0007D61017	1.848199694
0007D61019	0.852055717
0007D61030	1.107806148
0007D61238	0.981346699
0007D61259	-0.870720772
0007D61336	0.385487538
0007D61368	1.391792808
0007D61474	0.667739715
0007D61535	-0.414173662
0007D61645	-0.86100975
00071F4FAF	0.930783431
00071F95F9	1.034975673
00071F768E	0.443861312
00071F6771	-0.951212334
00071FB160	-0.436346934
00071FB747	-0.796613257
00072AAC0D	0.907295385
00072AC972	-0.410820812
00077E6A02	0.100215467
00077E6A10	0.540118017
00077E6AD9	-1.299745767
00077E6B83	-0.624110098
00077E6BCD	0.918624373
00077E6BD5	1.497427034
00077E6C24	-0.759755093
00077E6C69	-0.30570665
00077E7A00	1.122247019
00077E7A07	1.455328894
00077E7A09	0.131448161
00077E7A0C	-0.792391081
00077E7A2B	0.071679284
00077E7A2E	0.3227218
00077E7A3E	-0.735142891
00077E7A4B	-0.309676558
00077E7A5C	-0.447967151
00077E7A6F	-0.402827907
00077E7A7B	0.163159161
00077E7A7E	-0.390798822
00077E7A7F	1.052616031
00077E7A8A	-0.431008876
00077E7A8C	-0.395441609
00077E7A8D	-0.248103854
00077E7A9A	0.181745683
00077E7A9B	-1.530385338
00077E7A9C	-0.323502788
00077E7A9D	-1.079596766
00077E7A9F	-0.776421761
00077E7A10	-0.552702954
00077E7A13	0.472109907
00077E7A15	-0.947389
00077E7A16	-1.506367772
00077E7A17	-2.453998321
00077E7A18	0.575984216
00077E7A19	-0.599970646
00077E7A23	-0.844037146
00077E7A29	-0.555970104
00077E7A31	0.642696901
00077E7A39	1.244025715
00077E7A45	1.265271677
00077E7A51	1.866014677
00077E7A56	-1.049526982
00077E7A57	-1.546822966
00077E7A59	1.605917312
00077E7A60	-0.961990409
00077E7A61	-1.460389094
00077E7A62	0.040813324
00077E7A63	0.283399322
00077E7A66	0.300870149
00077E7A68	-0.1189414
00077E7A70	1.046840241
00077E7A74	-1.145851902
00077E7A78	-0.852055717
00077E7A79	-0.237583961
00077E7A82	-1.773693505
00077E7A83	-0.526715617
00077E7A87	1.451436271
00077E7A88	0.819068163
00077E7A89	0.793306948
00077E7A90	1.14622835
00077E7A92	0.681270658
00077E7A93	-0.347937692
00077E7A94	2.650194078
00077E7A95	-1.05492332
00077E7A96	1.363296402
00077E7A97	-0.158095955
00077E7A99	0.571963152
00077E7AA2	-0.528498388
00077E7AA3	0.340749622
00077E7AA6	-0.833094997
00077E7AA7	-0.477995987
00077E7AAF	-0.881413489
00077E7AB0	-0.801004136
00077E7AB1	-0.742776992
00077E7AB2	-0.344039166
00077E7AB3	0.725018642
00077E7AB5	0.967008861
00077E7AB6	0.013087806
00077E7AB7	-2.108216288
00077E7AB9	-0.192751657
00077E7ABB	-0.775920024
00077E7ABE	0.092210731
00077E7AC0	-0.777718991
00077E7AC1	-1.179390857
00077E7AC3	-0.919520995
00077E7AC5	2.005609204
00077E7ACE	1.204641874
00077E7ACF	-0.930516045
00077E7AD5	0.410820812
00077E7ADA	0.317823516
00077E7ADC	-1.14622835
00077E7ADD	-0.370493456
00077E7AE3	-0.275954598
00077E7AE4	-2.152896911
00077E7AE5	-0.83215443
00077E7AE7	0.395789339
00077E7AE9	0.020941804
00077E7AEE	-0.706737325
00077E7AEF	1.022570303
00077E7AF0	0.726642938
00077E7AF1	0.252870158
00077E7AF2	-0.748877233
00077E7AF3	0.979373274
00077E7AF7	0.034907544
00077E7AFB	0.282126473
00077E7AFF	0.399121827
00077E7B00	0.380846769
00077E7B02	0.067525495
00077E7B07	-1.828660422
00077E7B09	-0.163159161
00077E7B0A	0.511898056
00077E7B0B	0.005428986
00077E7B0C	0.191171682
00077E7B0D	-1.174557012
00077E7B1D	0.786981806
00077E7B2A	1.188771228
00077E7B2B	-0.301550104
00077E7B2E	0.924738321
00077E7B2F	-0.115340352
00077E7B3B	0.027148133
00077E7B3C	0.283740949
00077E7B3D	-0.59572136
00077E7B3E	1.281904248
00077E7B3F	-2.12264294
00077E7B4A	-0.058008954
00077E7B4D	-0.164381669
00077E7B4E	-0.367172837
00077E7B4F	-1.296144394
00077E7B5C	-0.272764808
00077E7B5E	-0.743296847
00077E7B5F	1.387718527
00077E7B6A	0.87297238
00077E7B6D	0.906861206
00077E7B7B	0.101021781
00077E7B7D	1.540393875
00077E7B8A	-1.561663223
00077E7B8B	-0.111860948
00077E7B8C	-1.218660771
00077E7B8D	-0.920992284
00077E7B8F	-0.249984921
00077E7B9C	-2.202340327
00077E7B13	1.893030539
00077E7B14	-1.788852248
00077E7B18	0.4276322
00077E7B19	0.685159554
00077E7B21	-1.195083378
00077E7B22	-0.199159995
00077E7B24	0.130473718
00077E7B26	0.256050883
00077E7B27	-1.057633042
00077E7B30	-0.050061086
00077E7B33	-1.204641874
00077E7B36	1.597276523
00077E7B37	-0.339106233
00077E7B39	1.131025035
00077E7B42	0.538408817
00077E7B46	0.863695653
00077E7B47	-1.159485108
00077E7B48	-0.971938628
00077E7B51	-0.539230637
00077E7B52	0.421391277
00077E7B53	-0.407472574
00077E7B54	0.971938628
00077E7B56	0.972881411
00077E7B59	-0.387477217
00077E7B61	-1.237327974
00077E7B63	-1.228424996
00077E7B65	1.325441523
00077E7B66	-0.580967473
00077E7B68	0.520694147
00077E7B73	-0.342951335
00077E7B74	-2.499389237
00077E7B77	0.447627894
00077E7B82	-0.314562231
00077E7B84	0.349573933
00077E7B91	-1.056936562
00077E7B92	-0.075300973
00077E7B94	0.384159882
00077E7B96	-0.051602774
00077E7B97	0.166280618
00077E7B99	0.579132162
00077E7BA2	-1.848733427
00077E7BA8	-0.732670839
00077E7BA9	0.516590317
00077E7BAA	-0.088786357
00077E7BAB	0.942540783
00077E7BAE	0.023867584
00077E7BAF	1.325849857
00077E7BB0	0.080922375
00077E7BB1	0.650343604
00077E7BB2	1.292559755
00077E7BB4	-0.229093727
00077E7BB7	1.675288957
00077E7BB8	-1.845428383
00077E7BBA	0.62973225
00077E7BBB	0.19910978
00077E7BBE	0.620372938
00077E7BC0	-0.078519316
00077E7BC3	-0.128319619
00077E7BC5	1.179390857
00077E7BC6	0.402458754
00077E7BC7	0.221197604
00077E7BC8	0.52599116
00077E7BCA	-1.628865079
00077E7BCB	0.662762002
00077E7BCC	-0.805100529
00077E7BCE	0.223522014
00077E7BD0	-0.863695653
00077E7BD4	-1.154870249
00077E7BD6	0.414051169
00077E7BD7	0.74580981
00077E7BDB	1.41251958
00077E7BDC	1.464269259
00077E7BDD	0.921327233
00077E7BE4	-0.297649728
00077E7BE6	-0.161238016
00077E7BE9	-0.384159882
00077E7BEA	0.29830512
00077E7BEB	-1.812391388
00077E7BEE	-1.106691068
00077E7BF7	0.043895484
00077E7BF8	-0.688470625
00077E7BFC	3.202893211
00077E7BFE	0.405800168
00077E7C03	-0.98700821
00077E7C05	-0.575984216
00077E7C08	-2.318525254
00077E7C09	0.920992284
00077E7C0D	-2.257837795
00077E7C0F	0.085363023
00077E7C1B	1.125163394
00077E7C1D	2.064343614
00077E7C1E	-0.771488071
00077E7C1F	-0.444565331
00077E7C2B	-0.462758592
00077E7C2C	-0.697056674
00077E7C2E	-1.344623258
00077E7C3B	-0.160039292
00077E7C4D	-0.2387978
00077E7C4E	-0.144462666
00077E7C4F	-1.126797732
00077E7C5A	-0.549118933
00077E7C5B	1.198257384
00077E7C5C	0.605509831
00077E7C5D	0.52953071
00077E7C5F	0.826577352
00077E7C6B	-0.355187699
00077E7C6D	-0.279850981
00077E7C7A	-0.05043314
00077E7C7C	1.442139942
00077E7C7F	0.624110098
00077E7C8D	-0.355582214
00077E7C8F	-1.781505348
00077E7C9B	-0.205409146
00077E7C9C	0.115817691
00077E7C9F	-1.710072457
00077E7C11	0.598128343
00077E7C13	1.214675721
00077E7C17	0.227640486
00077E7C23	-0.380733025
00077E7C26	0.260826841
00077E7C27	0.197589701
00077E7C30	0.051986307
00077E7C31	-2.189349756
00077E7C34	-1.948447958
00077E7C36	-1.420695142
00077E7C37	-0.74944488
00077E7C38	0.986862452
00077E7C41	0.05043314
00077E7C42	-0.048519516
00077E7C43	-1.135555824
00077E7C46	-0.286951234
00077E7C47	-0.306423552
00077E7C48	-0.062862197
00077E7C49	0.467041346
00077E7C50	-0.575467377
00077E7C54	-1.383662189
00077E7C55	-0.244929452
00077E7C58	-0.559892411
00077E7C60	-0.191171682
00077E7C64	-0.112351103
00077E7C66	0.918976033
00077E7C73	-1.212215302
00077E7C77	-0.967421566
00077E7C80	3.425242623
00077E7C81	-0.768061758
00077E7C82	-1.375631841
00077E7C84	0.732670839
00077E7C85	0.850651189
00077E7C86	-0.844053598
00077E7C87	-0.357769295
00077E7C88	0.101774529
00077E7C92	-0.810421405
00077E7C95	-1.2350001
00077E7C98	-1.289342875
00077E7CA2	-1.687416249
00077E7CA3	-0.687201998
00077E7CA6	1.611574996
00077E7CA7	-0.671571643
00077E7CA8	-0.427609232
00077E7CA9	0.646515527
00077E7CAE	1.718451543
00077E7CB0	-0.635374377
00077E7CB2	0.795433489
00077E7CB4	0.034650136
00077E7CB9	0.143729234
00077E7CBA	-0.892908937
00077E7CBC	1.082378994
00077E7CBD	-1.988097138
00077E7CBE	-0.20607197
00077E7CC0	0.480551376
00077E7CC1	0.650520189
00077E7CC3	-0.544620065
00077E7CC5	0.112781127
00077E7CC6	0.194332114
00077E7CC7	0.142408403
00077E7CC8	-0.0341104
00077E7CCA	0.565303539
00077E7CCD	0.4914
00077E7CCE	0.331625595
00077E7CD0	0.731084203
00077E7CD1	-0.380480042
00077E7CD2	0.296683807
00077E7CD5	1.828660422
00077E7CD7	-0.114256262
00077E7CD9	0.365514047
00077E7CDC	-1.807792377
00077E7CDF	-1.383667152
00077E7CE0	-0.677392039
00077E7CE1	-1.030393011
00077E7CE3	0.654181235
00077E7CE5	-0.463584384
00077E7CE6	-0.767347906
00077E7CE7	-0.795433489
00077E7CEF	-0.045436719
00077E7CF2	-1.487139818
00077E7CF4	0.797563633
00077E7CF5	0.645864137
00077E7CF6	0.667979122
00077E7CF7	-0.317019902
00077E7CF9	0.304093694
00077E7CFB	-0.053539599
00077E7D01	-1.285439877
00077E7D06	-0.519601168
00077E7D08	-0.629404675
00077E7D09	0.143975518
00077E7D0B	-0.741253741
00077E7D0D	-0.120503688
00077E7D0E	-0.702789836
00077E7D1A	-1.278384571
00077E7D1B	-0.143975518
00077E7D1C	-0.133012913
00077E7D1E	0.35227943
00077E7D1F	-1.011944426
00077E7D2A	-0.311919055
00077E7D13	-0.553637827
00077E7D14	1.200534112
00077E7D16	-1.068550469
00077E7D19	-0.288006813
00077E7D20	-0.283399322
00077E7D21	-0.351211111
00077E7D23	0.059754097
00077E7D25	-0.582804742
00077E7D26	0.926044982
00077E7D28	0.584643981
00077E7DB3	0.279850981
00077E7DEC	0.73065859
00077E7E9C	-0.781896871
00077E7F6E	-1.044161035
00077E7F7E	-1.683889788
00077E7F9C	-0.283195436
00077E7F50	0.003849254
00077E7FB4	0.334181538
00077E7FBB	0.362462017
00077E7FEC	0.727913291
00077E8A02	0.442956734
00077E8A1A	-0.755621373
00077E8A5A	-2.519342411
00077E8A5C	2.11966089
00077E8A6F	-0.530282841
00077E8A7D	-0.59216292
00077E8A7F	-0.48921022
00077E8A23	1.980752397
00077E8A26	0.240394099
00077E8A34	0.616222736
00077E8A39	1.177631644
00077E8A62	-0.339770342
00077E8A65	0.0341104
00077E8A70	-0.299259551
00077E8A90	0.625981949
00077E8AA7	-1.526616363
00077E8ABA	0.767347906
00077E8ACC	0.76941634
00077E8ACD	-1.139674898
00077E8AD2	0.547329567
00077E8AD5	0.637484161
00077E8AD8	1.84029584
00077E8ADB	-0.375482068
00077E8ADD	1.101027885
00077E8AE1	1.079596766
00077E8AE2	0.608498134
00077E8AE4	-0.111134235
00077E8AE5	-0.039564169
00077E8AE8	0.32762784
00077E8B05	-1.300326925
00077E8B0D	-0.390504719
00077E8B1B	-0.202241766
00077E8B1F	0.013184999
00077E8B3D	-0.126755821
00077E8B5D	-1.398694008
00077E8B6B	0.633491429
00077E8B6C	1.271392333
00077E8B8B	0.133012913
00077E8B8C	1.156337837
00077E8B8E	0.441168647
00077E8B8F	-1.477898718
00077E8B9B	-0.673523583
00077E8B10	-0.079377724
00077E8B15	-0.579815102
00077E8B24	0.307320401
00077E8B25	0.824731913
00077E8B27	0.390798822
00077E8B28	0.108013292
00077E8B31	0.740749716
00077E8B35	1.087968733
00077E8B45	1.196318014
00077E8B49	-0.588947033
00077E8B53	-1.321320391
00077E8B56	-0.377537831
00077E8B62	-1.168440832
00077E8B63	-0.487475535
00077E8B85	0.017707452
00077E8B87	-1.387718527
00077E8B98	-0.85652415
00077E8BA6	0.67128213
00077E8BAB	-0.962108537
00077E8BB0	2.031770739
00077E8BB7	-0.71096817
00077E8BCB	-0.485742316
00077E8BE6	1.354709267
00077E8BF4	-0.893800631
00077E8BFC	0.302481529
00077E8C05	0.914328579
00077E8C07	-1.690327344
00077E8C1F	-0.957228196
00077E8C2E	1.120302132
00077E8C3D	1.157897322
00077E8C4B	-0.379191781
